Institution Name,Main Office,Branch Name,Branch Number,Established Date,Acquired Date,Street Address,City,County,State,Zipcode,Latitude,Longitude,2010 Deposits,2011 Deposits,2012 Deposits,2013 Deposits,2014 Deposits,2015 Deposits,2016 Deposits,Branch Age,Year_Since_Acquisition,Total_Deposits,Growth_%,CAGR
JPMorgan Chase Bank,0,Utica Avenue Branch,506,1925-02-11,1992-06-20,257 Utica Avenue,Brooklyn,Kings,NY,11213,40.66975,-73.93096,42737.0,43627.0,46388.0,45421.0,47631.0,49028.0,77637,101,34,352469.0,81.66225986849803,10.461461601634658
JPMorgan Chase Bank,0,Flushing Avenue Branch,507,1927-04-04,1992-06-20,210 Flushing Avenue,Brooklyn,Kings,NY,11205,40.6977,-73.96749,42574.0,47263.0,47002.0,55036.0,71490.0,71364.0,77548,99,34,412277.0,82.14872927138629,10.510707072701496
JPMorgan Chase Bank,0,Grand Street Branch,509,1902-01-01,1992-06-20,231 Grand Street,New York City,New York,NY,10013,40.71853,-73.99513,110712.0,127369.0,161513.0,197445.0,219289.0,245988.0,281266,124,34,1343582.0,154.05195462099863,16.81190056845283
JPMorgan Chase Bank,0,Broadway and 96th Street Branch,512,1900-01-01,1992-06-20,"2551 Broadway, 96th Street",New York City,New York,NY,10025,40.79445,-73.97206,327054.0,336573.0,354604.0,385553.0,422699.0,441168.0,474228,126,34,2741879.0,44.99990827202847,6.388484211905365
JPMorgan Chase Bank,0,Delancey Street Branch,517,1915-03-19,1992-06-20,109 Delancey Street,New York City,New York,NY,10002,40.71855,-73.98854,85326.0,98701.0,110630.0,143089.0,156827.0,165411.0,241126,111,34,1001110.0,182.5938166561189,18.90326380170675
JPMorgan Chase Bank,0,New York Life Branch,520,1922-12-18,1992-06-20,386 Park Avenue South,New York City,New York,NY,10016,40.74292,-73.98449,656985.0,634703.0,719617.0,810799.0,828921.0,904748.0,1015342,104,34,5571115.0,54.54568977982754,7.525007836264619
JPMorgan Chase Bank,0,University Place Branch,522,1966-01-31,1992-06-20,32 University Place,New York City,New York,NY,10003,40.73203,-73.99448,309704.0,319792.0,319671.0,389547.0,380990.0,425712.0,505325,60,34,2650741.0,63.16385968537701,8.501896272117193
JPMorgan Chase Bank,0,Harlem Branch,525,1936-02-11,1992-06-20,322 West 125th Street,New York City,New York,NY,10027,40.81054,-73.95217,100240.0,94289.0,100148.0,116099.0,110693.0,112429.0,108995,90,34,742893.0,8.734038308060654,1.4053619712278476
JPMorgan Chase Bank,0,Broadway and 144th St Branch,526,1915-01-09,1992-06-20,3515 Broadway,New York City,New York,NY,10031,40.82581,-73.95111,52810.0,54194.0,62007.0,62872.0,73002.0,77545.0,80515,111,34,462945.0,52.461654989585305,7.281977865195799
JPMorgan Chase Bank,0,West 125th Street Branch,528,1812-01-01,1992-06-20,55 West 125th Street,New York City,New York,NY,10027,40.80728,-73.94431,49683.0,52944.0,76041.0,62727.0,62265.0,59547.0,62652,214,34,425859.0,26.103496165690476,3.9412306636022576
